Base de apuração;Sequencial;Código UO;Descrição UO;Código Função;Descrição Função;Código Subfunção;Descrição Subfunção;Código Programa;Descrição Programa;Código Ação;Descrição Ação;Código Subação;Descrição Subação;Descrição Produto;Descrição Unidade de Medida;Código Localizador;Descrição Localizador;Meta física;Meta prevista;Meta executada;Observação a respeito da meta
1º quadrimestre;4983;600;"SECRETARIA MUNICIPAL DE PLANEJAMENTO; ORÇAMENTO E GESTÃO";4;ADMINISTRAÇÃO;122;ADMINISTRAÇÃO GERAL;14;GESTÃO DOS RECURSOS HUMANOS;2021;Atenção à Saúde e Segurança do Servidor;6;PROMOÇÃO DA SAÚDE;Ação realizada;UNIDADE;10;Município de Belo Horizonte;Sim;320;20;
1º quadrimestre;350;600;"SECRETARIA MUNICIPAL DE PLANEJAMENTO; ORÇAMENTO E GESTÃO";4;ADMINISTRAÇÃO;122;ADMINISTRAÇÃO GERAL;14;GESTÃO DOS RECURSOS HUMANOS;2809;GESTÃO DE RECURSOS HUMANOS;3;Aperfeiçoamento Profissional;Servidor aperfeiçoado;Pessoa;10;Município de Belo Horizonte;Sim;3000;0;O Recurso do PPAG para o PADS Estratégico e para a Instrutoria foi zerado em 2025.
1º quadrimestre;1310;600;"SECRETARIA MUNICIPAL DE PLANEJAMENTO; ORÇAMENTO E GESTÃO";4;ADMINISTRAÇÃO;122;ADMINISTRAÇÃO GERAL;14;GESTÃO DOS RECURSOS HUMANOS;2809;GESTÃO DE RECURSOS HUMANOS;6;PLANEJAMENTO E ACOMPANHAMENTO DA FORÇA DE TRABALHO;"CONCURSO PÚBLICO; SELEÇÃO PÚBLICA; PROCESSO SELETIVO SIMPLIFICADO HOMOLOGADO";UNIDADE;10;Município de Belo Horizonte;Sim;1;0;
1º quadrimestre;5188;600;"SECRETARIA MUNICIPAL DE PLANEJAMENTO; ORÇAMENTO E GESTÃO";4;ADMINISTRAÇÃO;122;ADMINISTRAÇÃO GERAL;14;GESTÃO DOS RECURSOS HUMANOS;2809;GESTÃO DE RECURSOS HUMANOS;7;APERFEIÇOAMENTO PROFISSIONAL POR MEIO DE PARCERIAS/MULTIPLICADORES INTERNOS;Servidor aperfeiçoado;Pessoa;10;Município de Belo Horizonte;Sim;40000;6348;
1º quadrimestre;5772;600;"SECRETARIA MUNICIPAL DE PLANEJAMENTO; ORÇAMENTO E GESTÃO";4;ADMINISTRAÇÃO;122;ADMINISTRAÇÃO GERAL;166;PREFEITURA MODERNA E EFICIENTE;1323;PROMOÇÃO DA EFICIÊNCIA ADMINISTRATIVA;12;Aquisição de Infraestrutura Tecnológica para PBH;EQUIPAMENTO DE INFORMÁTICA ADQUIRIDO;UNIDADE;10;Município de Belo Horizonte;Sim;1;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;4795;600;"SECRETARIA MUNICIPAL DE PLANEJAMENTO; ORÇAMENTO E GESTÃO";4;ADMINISTRAÇÃO;122;ADMINISTRAÇÃO GERAL;166;PREFEITURA MODERNA E EFICIENTE;1401;IMPLANTAÇÃO DO SISTEMA INTEGRADO DE GESTÃO - GRP BH;1;"IMPLANTAÇÃO DO SISTEMA INTEGRADO DE GESTÃO PARA AS ÁREAS ADMINISTRATIVA; ORÇAMENTÁRIA E FINANCEIRA - GRP BH";SISTEMA IMPLANTADO/MANTIDO;UNIDADE;10;Município de Belo Horizonte;Não;1;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;5002;604;EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE;19;CIÊNCIA E TECNOLOGIA;572;DESENVOLVIMENTO TECNOLÓGICO E ENGENHARIA;85;GESTÃO DA POLÍTICA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;2602;"GERENCIAMENTO; IMPLANTAÇÃO E ATENDIMENTO DE SERVIÇOS DE TIC";5;IMPLANTAÇÃO DE SOLUÇÕES E MODERNIZAÇÃO CONTINUADA DOS EQUIPAMENTOS DO DATA CENTER;DATA CENTER MODERNIZADO;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;25;3;
1º quadrimestre;5004;604;EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE;19;CIÊNCIA E TECNOLOGIA;572;DESENVOLVIMENTO TECNOLÓGICO E ENGENHARIA;85;GESTÃO DA POLÍTICA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;2602;"GERENCIAMENTO; IMPLANTAÇÃO E ATENDIMENTO DE SERVIÇOS DE TIC";6;"MELHORIA DO AMBIENTE DE SEGURANÇA E MODERNIZAÇÃO DO MONITORAMENTO: RMI; DATACENTER E TERCEIROS";PLANO DE MELHORIA IMPLANTADO;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;26;"1;5";
1º quadrimestre;5498;604;EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE;19;CIÊNCIA E TECNOLOGIA;572;DESENVOLVIMENTO TECNOLÓGICO E ENGENHARIA;85;GESTÃO DA POLÍTICA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;2602;"GERENCIAMENTO; IMPLANTAÇÃO E ATENDIMENTO DE SERVIÇOS DE TIC";10;ATUALIZAÇÃO TECNOLÓGICA DA INFRAESTRUTURA E DOS ATIVOS DE TIC;EQUIPAMENTO OBSOLETO SUBSTITUÍDO;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;24;"2;03";
1º quadrimestre;4900;604;EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE;19;CIÊNCIA E TECNOLOGIA;572;DESENVOLVIMENTO TECNOLÓGICO E ENGENHARIA;302;BELO HORIZONTE CIDADE INTELIGENTE;2905;Fomentar Pólo Tecnológico de BH;6;AMPLIAÇÃO DA CONECTIVIDADE DA PBH;PLANO DE EXPANSÃO IMPLANTADO;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;25;"5;47";"Meta ultrapassada; pois foram instalados 192 novos pontos de rede local."
1º quadrimestre;4882;604;EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE;19;CIÊNCIA E TECNOLOGIA;572;DESENVOLVIMENTO TECNOLÓGICO E ENGENHARIA;302;BELO HORIZONTE CIDADE INTELIGENTE;2905;Fomentar Pólo Tecnológico de BH;7;DADOS ABERTOS;RECURSO DE DADOS ABERTOS PUBLICADO;UNIDADE;10;Município de Belo Horizonte;Sim;1700;230;
1º quadrimestre;5502;604;EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE;19;CIÊNCIA E TECNOLOGIA;572;DESENVOLVIMENTO TECNOLÓGICO E ENGENHARIA;302;BELO HORIZONTE CIDADE INTELIGENTE;2937;GEOCORPORATIVO;1;DISPONIBILIZAÇÃO DE SERVIÇOS GEOGRÁFICOS;SERVIÇO DISPONIBILIZADO;UNIDADE;10;Município de Belo Horizonte;Sim;25;1;
1º quadrimestre;5499;604;EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE;19;CIÊNCIA E TECNOLOGIA;126;TECNOLOGIA DA INFORMAÇÃO;302;BELO HORIZONTE CIDADE INTELIGENTE;2938;INCLUSÃO DIGITAL;1;CIDADANIA DIGITAL E CONECTIVIDADE;PONTO DE INCLUSÃO DIGITAL MANTIDO;UNIDADE;10;Município de Belo Horizonte;Não;130;145;"A nossa meta é a manutenção de; no mínimo;130 tele centros ativos; esse número pode ser maior em razão das demandas de implantação autorizadas pela SMGO; porém é um dado dinâmico; pois algumas instituições também solicitam a desativação de tele centros ou mesmo suspendem as atividades para manutenção."
1º quadrimestre;5500;604;EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE;19;CIÊNCIA E TECNOLOGIA;126;TECNOLOGIA DA INFORMAÇÃO;302;BELO HORIZONTE CIDADE INTELIGENTE;2938;INCLUSÃO DIGITAL;2;QUALIFICAÇÃO EM TECNOLOGIAS DIGITAIS;Certificado emitido;UNIDADE;10;Município de Belo Horizonte;Sim;4000;271;
1º quadrimestre;5501;604;EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE;19;CIÊNCIA E TECNOLOGIA;126;TECNOLOGIA DA INFORMAÇÃO;302;BELO HORIZONTE CIDADE INTELIGENTE;2938;INCLUSÃO DIGITAL;3;RECONDICIONAMENTO DE EQUIPAMENTOS DE INFORMÁTICA PARA AÇÕES DE INCLUSÃO DIGITAL;DOAÇÃO REALIZADA;UNIDADE;10;Município de Belo Horizonte;Sim;1250;159;
1º quadrimestre;859;800;SECRETARIA MUNICIPAL DE FAZENDA;4;ADMINISTRAÇÃO;122;ADMINISTRAÇÃO GERAL;7;APOIO ADMINISTRATIVO E FINANCEIRO;2110;Administração do Patrimônio Municipal;2;Regularização de Propriedades Municipais;Propriedade regularizada;UNIDADE;10;Município de Belo Horizonte;Sim;35;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;433;805;FUNDO DE MODERNIZAÇÃO E APRIMORAMENTO ADM. TRIBUTÁRIA DO MUNICÍPIO;4;ADMINISTRAÇÃO;129;ADMINISTRAÇÃO DE RECEITAS;105;GESTÃO DA POLÍTICA FISCAL MUNICIPAL;2652;Coordenação Superior das Finanças;2;Capacitação e Aperfeiçoamento dos Servidores da Administração Tributária;Servidor capacitado;Pessoa;10;Município de Belo Horizonte;Sim;9;0;"Meta física executada na UE nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;6340;805;FUNDO DE MODERNIZAÇÃO E APRIMORAMENTO ADM. TRIBUTÁRIA DO MUNICÍPIO;4;ADMINISTRAÇÃO;129;ADMINISTRAÇÃO DE RECEITAS;105;GESTÃO DA POLÍTICA FISCAL MUNICIPAL;2652;Coordenação Superior das Finanças;2;Capacitação e Aperfeiçoamento dos Servidores da Administração Tributária;Servidor capacitado;Pessoa;10;Município de Belo Horizonte;Sim;0;0;Aguardando aprovação da CCG
1º quadrimestre;4875;805;FUNDO DE MODERNIZAÇÃO E APRIMORAMENTO ADM. TRIBUTÁRIA DO MUNICÍPIO;4;ADMINISTRAÇÃO;129;ADMINISTRAÇÃO DE RECEITAS;105;GESTÃO DA POLÍTICA FISCAL MUNICIPAL;2652;Coordenação Superior das Finanças;3;CADASTRAMENTO E RECADASTRAMENTO IMOBILIÁRIO;IMÓVEL CADASTRADO;UNIDADE;10;Município de Belo Horizonte;Sim;50000;0;"Meta física executada na UE nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;6318;805;FUNDO DE MODERNIZAÇÃO E APRIMORAMENTO ADM. TRIBUTÁRIA DO MUNICÍPIO;4;ADMINISTRAÇÃO;129;ADMINISTRAÇÃO DE RECEITAS;105;GESTÃO DA POLÍTICA FISCAL MUNICIPAL;2652;Coordenação Superior das Finanças;3;CADASTRAMENTO E RECADASTRAMENTO IMOBILIÁRIO;IMÓVEL CADASTRADO;UNIDADE;10;Município de Belo Horizonte;Sim;0;0;Serviço em fase de licitação
1º quadrimestre;4874;805;FUNDO DE MODERNIZAÇÃO E APRIMORAMENTO ADM. TRIBUTÁRIA DO MUNICÍPIO;4;ADMINISTRAÇÃO;129;ADMINISTRAÇÃO DE RECEITAS;105;GESTÃO DA POLÍTICA FISCAL MUNICIPAL;2652;Coordenação Superior das Finanças;4;"MODERNIZAÇÃO DOS PROCESSOS  DO SISTEMA TRIBUTÁRIO MOBILIÁRIO; IMOBILIÁRIO; COBRANÇA DA DÍVIDA ATIVA E CADASTROS TRIBUTÁRIOS";Sistema implantado;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;12;0;"Meta física executada na UE nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;6316;805;FUNDO DE MODERNIZAÇÃO E APRIMORAMENTO ADM. TRIBUTÁRIA DO MUNICÍPIO;4;ADMINISTRAÇÃO;129;ADMINISTRAÇÃO DE RECEITAS;105;GESTÃO DA POLÍTICA FISCAL MUNICIPAL;2652;Coordenação Superior das Finanças;4;"MODERNIZAÇÃO DOS PROCESSOS  DO SISTEMA TRIBUTÁRIO MOBILIÁRIO; IMOBILIÁRIO; COBRANÇA DA DÍVIDA ATIVA E CADASTROS TRIBUTÁRIOS";Sistema implantado;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;0;1;"Diante da publicação dos Decretos Nº 18.973; DE 31 DE JANEIRO DE 2025 e Nº 18.974; DE 31 DE JANEIRO DE 2025; houve alteração da estrutura da SMFA e SMALOG; sendo transferido para SMFA o monitoramento a partir do EXERCÍCIO 2025 do SEQUENCIAL 4874. A quantidade anual prevista está lançada no SEQUENCIAL 4874."
1º quadrimestre;1174;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";8;ASSISTÊNCIA SOCIAL;122;ADMINISTRAÇÃO GERAL;123;"GESTÃO DA POLITICA DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";2787;"PLANEJAMENTO; MONITOR. E DIVULGAÇÃO DAS POLÍTICAS DE ASSIS. SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";1;REALIZAÇÃO E ACOMPANHAMENTO DE EVENTOS INSTITUCIONAIS;Evento realizado;UNIDADE;10;Município de Belo Horizonte;Sim;30;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;1175;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";8;ASSISTÊNCIA SOCIAL;122;ADMINISTRAÇÃO GERAL;123;"GESTÃO DA POLITICA DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";2787;"PLANEJAMENTO; MONITOR. E DIVULGAÇÃO DAS POLÍTICAS DE ASSIS. SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";2;PRODUÇÃO DE MATERIAL INFORMATIVO - IMPRESSOS OU DIGITAIS;Material produzido;UNIDADE;10;Município de Belo Horizonte;Sim;200;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;1453;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";8;ASSISTÊNCIA SOCIAL;244;ASSISTÊNCIA COMUNITÁRIA;123;"GESTÃO DA POLITICA DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";2804;Gestão dos Equipamentos e Promoção Social;2;Articulação para a expansão da oferta de serviços no âmbito do Programa BH Cidadania;Atividade realizada;UNIDADE;10;Município de Belo Horizonte;Sim;1;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;1946;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";14;DIREITOS DA CIDADANIA;422;"DIREITOS INDIVIDUAIS; COLETIVOS E DIFUSOS";127;PROMOÇÃO E DEFESA DE DIREITOS HUMANOS E CIDADANIA;2334;Participação Popular;3;Realização de Conferências;Evento realizado;UNIDADE;10;Município de Belo Horizonte;Sim;2;0;
1º quadrimestre;1142;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";14;DIREITOS DA CIDADANIA;422;"DIREITOS INDIVIDUAIS; COLETIVOS E DIFUSOS";127;PROMOÇÃO E DEFESA DE DIREITOS HUMANOS E CIDADANIA;2335;GESTÃO DA POLITICA DE DIREITOS HUMANOS E DE CIDADANIA;1;Participação em atividades de promoção de Direitos e Cidadania para sociedade civil;Pessoa Participante;Pessoa;10;Município de Belo Horizonte;Sim;7000;0;
1º quadrimestre;1143;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";14;DIREITOS DA CIDADANIA;422;"DIREITOS INDIVIDUAIS; COLETIVOS E DIFUSOS";127;PROMOÇÃO E DEFESA DE DIREITOS HUMANOS E CIDADANIA;2335;GESTÃO DA POLITICA DE DIREITOS HUMANOS E DE CIDADANIA;2;Formação em Direitos e Cidadania para agentes públicos;Pessoa formada;Pessoa;10;Município de Belo Horizonte;Sim;5000;0;
1º quadrimestre;1947;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";14;DIREITOS DA CIDADANIA;422;"DIREITOS INDIVIDUAIS; COLETIVOS E DIFUSOS";127;PROMOÇÃO E DEFESA DE DIREITOS HUMANOS E CIDADANIA;2335;GESTÃO DA POLITICA DE DIREITOS HUMANOS E DE CIDADANIA;4;Acompanhamento aos grupos do Programa Espaço da Cidadania - PEC;Grupo produtivo apoiado;UNIDADE;10;Município de Belo Horizonte;Não;124;0;
1º quadrimestre;1144;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";14;DIREITOS DA CIDADANIA;422;"DIREITOS INDIVIDUAIS; COLETIVOS E DIFUSOS";127;PROMOÇÃO E DEFESA DE DIREITOS HUMANOS E CIDADANIA;2386;"PROMOÇÃO; PROTEÇÃO E DEFESA DE DIREITOS DE REPARAÇÃO E IGUALDADE RACIAL";1;REALIZAÇÃO E APOIO ÀS ATIVIDADES E INICIATIVAS DE REPARAÇÃO E PROMOÇÃO DA IGUALDADE RACIAL;Ação realizada;UNIDADE;10;Município de Belo Horizonte;Sim;12;0;
1º quadrimestre;4920;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";14;DIREITOS DA CIDADANIA;422;"DIREITOS INDIVIDUAIS; COLETIVOS E DIFUSOS";127;PROMOÇÃO E DEFESA DE DIREITOS HUMANOS E CIDADANIA;2386;"PROMOÇÃO; PROTEÇÃO E DEFESA DE DIREITOS DE REPARAÇÃO E IGUALDADE RACIAL";6;ATENDIMENTO A POVOS E COMUNIDADES TRADICIONAIS;GRUPO ATENDIDO;UNIDADE;10;Município de Belo Horizonte;Sim;12;0;
1º quadrimestre;4923;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";14;DIREITOS DA CIDADANIA;241;ASSISTÊNCIA AO IDOSO;127;PROMOÇÃO E DEFESA DE DIREITOS HUMANOS E CIDADANIA;2697;"Promoção; Proteção e Defesa das Pessoas Idosas";1;"Participação da Pessoa Idosa em Atividades em Prol do Envelhecimento Ativo; Digno e Saudável no CRPI";Pessoa Participante;Pessoa;10;Município de Belo Horizonte;Sim;30000;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa"
1º quadrimestre;4921;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";14;DIREITOS DA CIDADANIA;241;ASSISTÊNCIA AO IDOSO;127;PROMOÇÃO E DEFESA DE DIREITOS HUMANOS E CIDADANIA;2697;"Promoção; Proteção e Defesa das Pessoas Idosas";3;Fortalecimento dos Grupos de Convivência e da Rede de Defesa de Direitos da Pessoa Idosa;Grupo acompanhado;UNIDADE;10;Município de Belo Horizonte;Não;27;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa"
1º quadrimestre;4922;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";14;DIREITOS DA CIDADANIA;241;ASSISTÊNCIA AO IDOSO;127;PROMOÇÃO E DEFESA DE DIREITOS HUMANOS E CIDADANIA;2697;"Promoção; Proteção e Defesa das Pessoas Idosas";4;Realização e apoio às atividades e iniciativas de promoção dos direitos das pessoas Idosas;Ação realizada;UNIDADE;10;Município de Belo Horizonte;Sim;20;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;1951;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";14;DIREITOS DA CIDADANIA;422;"DIREITOS INDIVIDUAIS; COLETIVOS E DIFUSOS";127;PROMOÇÃO E DEFESA DE DIREITOS HUMANOS E CIDADANIA;2819;"PROMOÇÃO; PROTEÇÃO E DEFESA DE DIREITOS DAS JUVENTUDES";1;REALIZAÇÃO E APOIO ÀS ATIVIDADES E INICIATIVAS DE PROMOÇÃO DOS DIREITOS DA JUVENTUDE DE FORMA DESCENTRALIZADA NOS TERRITÓRIOS DA CIDADE;Ação realizada;UNIDADE;10;Município de Belo Horizonte;Sim;16;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;1159;1000;"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; SEGURANÇA ALIMENTAR E CIDADANIA";14;DIREITOS DA CIDADANIA;422;"DIREITOS INDIVIDUAIS; COLETIVOS E DIFUSOS";127;PROMOÇÃO E DEFESA DE DIREITOS HUMANOS E CIDADANIA;2819;"PROMOÇÃO; PROTEÇÃO E DEFESA DE DIREITOS DAS JUVENTUDES";3;PROMOÇÃO DAS JUVENTUDES EM ATIVIDADES NO CENTRO DE REFERÊNCIA DA JUVENTUDE - CRJ;Jovem participante;Pessoa;10;Município de Belo Horizonte;Sim;5400;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa"
