PPACODNUMERO;ANO REFERÊNCIA;ÁREA DE RESULTADO;ÁREA DE RESULTADO NOME;U.O.;U.O. NOME;PROGRAMA;PROGRAMA NOME;AÇÃO;AÇÃO NOME;SUBAÇÃO;SUBAÇÃO NOME;PRODUTO;UNIDADE DE MEDIDA;META FÍSICA ANO 1;META FÍSICA ANO 2;META FÍSICA ANO 3;META FÍSICA ANO 4
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0006;Ações e testagem rápida em HIV, Sífilis e Hepatites Virais;Teste Realizado;UNIDADE;170000;220000;230000;240000
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0009;AÇÕES DE ENFRENTAMENTO À COVID-19;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0010;E. - AQUISIÇÃO DE CASTRAMÓVEIS;CASTRAMÓVEL ADQUIRIDO;UNIDADE;1;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0011;E. I. - ESTERILIZAÇÃO DE CÃES E GATOS PARA CONTROLE DE ZOONOSES (CASTRAÇÃO);ESTERILIZAÇÃO DE ANIMAIS (CASTRAÇÃO);ANIMAL ESTERILIZADO;250;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0012;E. I. - VIGILÂNCIA EM SAÚDE - AQUISIÇÃO DE EQUIP. ELETRÔNICOS, INFO, INSUMOS E DEMAIS MATS P/ CENTRO DE ESTERILIZAÇÃO DE CÃES E GATOS, BAIRRO CAIÇARA;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0013;E. I. - VIGILÂNCIA EM SAÚDE - AQUISIÇÃO DE EQUIP. ELETRÔNICOS, INFO, INSUMOS E DEMAIS MATS P/ CENTRO DE CONTROLE DE ZOONOSES (CCZ), B. SÃO BERNARDO;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0014;E. I. - ESTERILIZAÇÃO DE CÃES E GATOS PARA CONTROLE DE ZOONOSES (CASTRAÇÃO - EMENDA 664);ESTERILIZAÇÃO DE ANIMAIS (CASTRAÇÃO);ANIMAL ESTERILIZADO;250;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0015;E. I. - ESTERILIZAÇÃO DE CÃES E GATOS PARA CONTROLE DE ZOONOSES (CASTRAÇÃO - EMENDA 665);ESTERILIZAÇÃO DE ANIMAIS (CASTRAÇÃO);ANIMAL ESTERILIZADO;250;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0016;E. I. - ESTERILIZAÇÃO DE CÃES E GATOS PARA CONTROLE DE ZOONOSES (CASTRAÇÃO - EMENDA 666);ESTERILIZAÇÃO DE ANIMAIS (CASTRAÇÃO);ANIMAL ESTERILIZADO;250;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0018;E. I. - LOA 693 - AQUISIÇAO DE MATERIAIS DE CONSUMO PARA REALIZAÇAO DE CUIDADOS AOS ANIMAIS DO CENTRO DE CONTROLE DE ZOONOSES;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0019;E. I. - LOA 713 - AQUISIÇAO DE EQUIPAMENTOS NECESSÁRIOS AOS CUIDADOS REALIZADOS NOS CENTROS DE ESTERILIZAÇAO DE CAES E GATOS NA REGIONAL LESTE;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0020;E. I. - LOA 151 - REFORÇO DE DOTAÇÃO PARA O PROJETO DE MODERNIZAÇÃO E MELHORIA DOS CENTROS DE ESTERILIZAÇÃO DE CAES E GATOS E DAS UNIDADES MÓVEIS;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0021;E. I. - LOA 152 - REFORÇO DE DOTAÇÃO ORÇAMENTÁRIA PARA O CENTRO DE APOIO A DIRETORIA DE ZOONOSES;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0022;E. I. - LOA 174 - REFORÇO DOTAÇÃO ORÇAMENTÁRIA P/ AQUISIÇÃO DE INSUMOS P/ REALIZAÇÃO DE CUIDADOS AOS ANIMAIS MANTIDOS NO CENTRO DE APOIO DA ZOONOSES;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0023;E. I. - LOA 175 - REFORÇO DE DOTAÇÃO ORÇAMENTÁRIA P/ AQUISIÇAO DE INSUMOS PARA REALIZAÇÃO DOS EVENTOS DE ADOÇÃO E MANUTENÇÃO DE CÃES EM LAR TEMPORÁRIO;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0024;E. I. - LOA 324 - AQUISIÇAO DE APARELHO DE DIAGNÓSTICO PARA OS CENTROS DE ESTERILIZAÇÃO DE CÃES E GATOS, REGIONAL OESTE;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0025;E. I. - LOA 411 - AQUISIÇÃO DE INSUMOS NECESSÁRIOS PARA REALIZAÇÃO DOS EVENTOS DE ADOÇÃO E MANUTENÇÃO DE CAES EM LAR TEMPORÁRIO;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0026;"E. I. - LOA 574 - REFORÇO DE DOTAÇAO ORÇAMENTÁRIA PARA QUALIFICAÇÃO NO ATENDIMENTO DA POPULAÇÃO LGBTQIA+ , ""PROJETO BH DE MÃOS DADAS CONTRA A AIDS""";Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0027;E. I. - LOA 575 - REFORÇO DA DOTAÇÃO ORÇAMENTÁRIA DA POLÍTICA DE CASTRAÇÃO DE ANIMAIS ABANDONADOS;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0028;E. I. - LOA 679 - REFORÇO ORÇAMENTÁRIO PARA O PROJETO DE MANUTENÇÃO E CUIDADO DE EQUÍDEOS MANTIDOS NO CENTRO DE APOIO DE ZOONOSES;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0029;E. I. - LOA 680 - REFORÇO ORÇAMENTÁRIO PARA O PROJETO DE MANUTENÇÃO E CUIDADO DOS ANIMAIS RESGATADOS, CAES E GATOS, CENTRO DE APOIO DE ZOONOSES;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0030;"E. I. - LOA 681 - REFORÇO ORÇAMENTÁRIO PARA ATENDIMENTO DE TUTORES EM SITUAÇÃO DE RUA NO ""PROJETO MALOCA""";Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0031;E. I. - LOA 682 - REFORÇO ORÇAMENTÁRIO PARA O PROJETO DE INCREMENTO DOS ANIMAIS RESGATADOS PELO CENTRO DE CONTROLE DE ZOONOSES;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0032;E. I. - LOA 714 - REFORÇO DE DOTAÇÃO ORÇAMENTÁRIA PARA CUSTEIO PARA REALIZAÇÃO DE CUIDADOS AOS ANIMAIS RESGATADOS PELO CENTRO DE CONTROLE DE ZOONOSES;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0033;E. I. - LOA 976 - REFORÇO DE DOTAÇAO ORÇAMENTÁRIA PRA MANUTENÇAO E CUIDADO DOS ANIMAIS;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0001;ATENDIMENTO DA POPULAÇÃO NA REDE ESPECIALIZADA;Procedimento realizado;UNIDADE;13000000;15100000;18100000;19100000
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0004;HOSPITAL METROPOLITANO ODILON BEHRENS;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0005;Gestão de Recursos Humanos;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0006;ATENDIMENTO DA POPULAÇÃO NA REDE DE SAÚDE MENTAL;Atendimento realizado;UNIDADE;380000;410000;420000;430000
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0015;E. - INCENTIVO AO ALEITAMENTO MATERNO;Mães beneficiadas;Pessoa;100;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0016;AÇÕES DE ENFRENTAMENTO À COVID-19;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0017;HOSPITAL METROPOLITANO DOUTOR CÉLIO DE CASTRO;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0018;E. - SAÚDE REPRODUTIVA DA MULHER;MULHER ATENDIDA;Pessoa;1500;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0019;E. I. - ATENDIMENTO DA POPULAÇÃO NA REDE ESPECIALIZADA (NUPAD\UFMG);Procedimento realizado;UNIDADE;100;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0020;E. I. - ATENDIMENTO DA POPULAÇÃO NA REDE ESPECIALIZADA - REPASSE PARA A FACULDADE DE ODONTOLOGIA DA UFMG;Procedimento realizado;UNIDADE;23000;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0021;E. I. - ATENDIMENTO OFTALMOLÓGICO PARA ESTUDANTES DA REDE PÚBLICA DE ENSINO FUNDAMENTAL;PACOTE BASICO DE OFTALMOLOGIA;ESTUDANTE ATENDIDO;21487;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0022;E. I. - ATENDIMENTO DA POPULAÇÃO NA REDE DE SAÚDE MENTAL (REDES DE ATENÇÃO À SAÚDE SECUNDÁRIA E TERCIÁRIA DO MUNICÍPIO);Atendimento realizado;UNIDADE;30;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0023;E. I. - REDE ESPECIALIZADA - DESPESAS DE CUSTEIO DO CENTRO DE REFERÊNCIA EM SAÚDE MENTAL ÁLCOOL E DROGAS - CERSAM, BAIRRO SÃO PAULO;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0026;E. I. - MANUTENÇÃO E FUNCIONAMENTO DO CENTRO DE REFERÊNCIA EM REABILITAÇÃO BARREIRO - CREAB BARREIRO;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0027;E. I. - REDE ESPECIALIZADA - CENTRO DE REFERÊNCIA EM REABILITAÇÃO SÃO JOÃO BATISTA;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0028;E. I. - REDE ESPECIALIZADA - REPASSE PARA A ASSOCIAÇÃO MARIO PENNA;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0029;E. I. - REDE ESPECIALIZADA - REPASSE PARA A FUNDAÇÃO BENJAMIN GUIMARÃES (HOSPITAL DA BALEIA);Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0030;E. I. - REDE ESPECIALIZADA - REPASSE PARA O HOSPITAL METROPOLITANO DR. CÉLIO DE CASTRO;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0031;E. I. - REDE ESPECIALIZADA - REPASSE PARA A FUNDAÇÃO DE ASSISTÊNCIA INTEGRAL A SAÚDE - HOSPITAL SOFIA FELDMAN;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0032;E. I. - REDE ESPECIALIZADA - REPASSE PARA A SANTA CASA DE MISERICÓRDIA DE BELO HORIZONTE;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0033;E. I. - REDE ESPECIALIZADA - REPASSE PARA A ASSOCIAÇÃO EVANGÉLICA BENEFICENTE DE MINAS GERAIS - AEBMG;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0034;E. I. - REDE ESPECIALIZADA - REPASSE PARA O INSTITUTO ASSISTENCIAL ESPÍRITA ANDRÉ LUIZ;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0035;E. I. - REDE ESPECIALIZADA - AQUISIÇÃO DE EQUIPAMENTO PELA FUNDAÇÃO DE ASSISTÊNCIA INTEGRAL A SAÚDE - HOSPITAL SOFIA FELDMAN;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0036;E. I. - REDE ESPECIALIZADA - CERSAM;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0037;E. I. - ATENDIMENTO DE CUIDADOS ESPECIALIZADOS (SANTA CASA DE BELO HORIZONTE);Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0038;E. I. - REDE ESPECIALIZADA - AMPLIAÇÃO DO PROJETO ARTE DA SAÚDE DA REDE DE SAÚDE MENTAL;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0039;"E. I. - REDE PRÓPRIA DE CUIDADOS ESPECIALIZADOS COMPLEMENTARES À SAÚDE - AMBULATORIAL - PROGRAMA ""ARTE NA SAÚDE""";Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0040;E. I. - ATENDIMENTO DA POPULAÇÃO NA REDE ESPECIALIZADA (HOSPITAL DA BALEIA - MANUTENÇÃO EQUIPAMENTOS);Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0041;E. I. - ATENDIMENTO DA POPULAÇÃO NA REDE ESPECIALIZADA -REPASSE PARA ASSOCIAÇÃO MARIO PENNA;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0049;E. I. - LOA 250 - REFORÇO DE DOTAÇÃO PARA ATENDIMENTO À SAÚDE, SUPORTE DAS UNIDADES E SERVIÇOS DA REDE DE SAÚDE MENTAL;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0050;E. I. - LOA 541 - REFORÇO DE DOTAÇAO ORÇAMENTÁRIA AO CUSTEIO DO NÚCLEO DE AÇÕES E PESQUISAS EM APOIO AO DIAGNÓSTICO NUPAD - UFMG;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0051;E. I. - LOA 542 - REFORÇO ORÇAMENTÁRIO PARA CUSTEIO DO CERSAMI CEPAI/ FHEMIG, DA ADOLESCÊNCIA E INFÂNCIA;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0052;E. I. - LOA 784 E PPA 40 - MOBILIÁRIO PARA RESIDÊNCIAS TERAPÊUTICAS;RESIDÊNCIA EQUIPADA;UNIDADE;0;5;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0053;E. I. - LOA 543 - REFORÇO ORÇAMENTÁRIO DA CERSAMI NOROESTE - PADRE EUSTÁQUIO;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0054;E. I. - LOA 544 - REFORÇO ORÇAMENTÁRIO AO CUSTEIO DO CERSAMI NORDESTE - RENASCENÇA;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0055;E. I. - LOA 569 -AUMENTO DA DISPONIBILIZ. DE VEÍCULOS PARA TRANSPORTE DE CRIANÇAS/ADOLESCENTES DO CENTRO DE REFERÊNCIA EM SAÚDE MENTAL INFANTO-JUVENIL;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0056;E. I. - LOA 571 - AQUISIÇAO DE MATERIAL DE APOIO UTILIZADO NO ATENDIMENTO DAS EQUIPES DE CONSULTÓRIO NA RUA;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0114; ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE;2891;REDE ESPECIALIZADA;0057;E. - LOA 146 - MANUTENÇÃO NAS UNIDADES E SERVIÇOS DA REDE DE SAÚDE MENTAL;Serviços administrativos;Metas administrativas;0;0;0;0
